text,label
and thwarted by a male hierarchy that will exploit but not reward herbr br work piling up faster than she can handle it carla is told to hire a secretary,0
their relationship was a wellkept secret until her disappearance and murder,0
the characters and situations in fact are so very similar that it would be difficult to tell the full story,1
apart from that i felt that the film didn't really have any impact the main story of how a man learns to live as a single man,1
as well as that they have a lot of great material to work from,1
and the music was very boring and bland,0
i also think it is perhaps the scariest the most gothic and complete film around,0
there've always seemed to be so many clich 'actors in this film,1
and in this tiny nurse 's room alexandre looks more like albertine than marcelbr br to explain this failure we can say that alexandre is a balzac 's reader,0
it weaves an intense web that left me unable to take my eyes off the screen until the closing credits,0
watch to think that if you get the chance watch this,1
lincoln talks about the need to secure the west,0
brosnan is excellent in this role gone is the wooden james bond,0
melissa is so hot you have no idea she wants you to see her,1
inspired in part by the work of mario campanella but also adapted on the strength,1
even if might not be historically accurate the film manages to capture the most important about hickok and about the time it takes place,0
an all out war with no mercy,1
the film is a definite keeper,0
plus the movie seems very much like a play for a young actor,1
there was nary a moment of real substance to the story,1
worst thing i have ever seen in film,1
life moves on slowly but strangers we do not remain,0
i was given a ticket for an advanced screening,0
and he 'll be the next victim of the monster who 'll take her to the local butcher shop and slaughter him,1
the twist in the middle i felt was especially good,0
burns won the best supporting actor oscar for this but i think matthau walks away with this film with his flawlessly hilarious performance as willy clark,0
that 'll tell you i love this film and am eagerly seeking more on its release,1
if you were to see it at all i would not give you a clue what would i feel,1
or if you are one of many that is nazi this is a movie worth the price of the ticket,1
it've always made my head spin and made me believe things that i thought was totally unrealistic and totally irrelevant,1
to me and to many others like me it was the most compelling story everbrillien was just excellent,1
i assume no one took the time to rethink the script,0
the story of a man who 'll get away with murder,1
staying at the same hotel is a likable downonhis luck businessman danny wright also trying to regain his equilibrium,0
although he was not a great comedian he was one that could act and was a good actorbradley cooper was quite good as the guy that is going through so many bad years,1
now you're saying the film 'could have ended so differently i just wonder,1
this is a great film,1
britton'ssentimental romance that is butchered to death is worth watching for allure'swansonger warden 'the bowerym 'who cares about bessie,1
no one could really say what it is about anything,1
i first saw this movie about 20 years ago and have never forgotten it,0
true i was 11 but i thought it was the greatest thing on,0
only then do i truly love this film,1
robot vs robot,1
so many of the regular joes among us would love to stick it to the man,0
cooper turning it into a minor mantra like lincoln 's version of the monroe doctrine is ridiculous typical of the way demille 's scripts have really bad errors of common sense in thembr br however this is not a ruinous mistake,0
i went to see this movie expecting a nice relaxing time in the theater with my younger sister,0
it certainly inspired me to look more closely,0
in both their faults and strengths the characters compliment each other,0
and yet this one is much like a lot of others,1
gary cooper is at his most taciturn but manages some occasional pithy sayings 'the plains are big but trails cross,0
what else can you say,0
my first child was born the year this program came out and i played the record album for the boys every christmas thereafter,0
the vision of this extraordinary film is almost unparalleled exceeding better known death romances such as ghost,0
but he should have gotten nominated for this movie,0
have i ever felt so strongly about a character,1
after the failure of the crusades at the box office cecil b demille stopped doing films about nonamerican history,0
he is one of them but they never show him,1
even though they were all killed and they all left the hospital it is still a very touching piece of work and not the kind you 'll go into and think 'well i've seen this before and i could go into it again but who wants another one of those'special effects only to realise it 'll be a 'horror movie with a lot of blood and guts the best part of the movie is having the killer eat your soul and then take your body back into the earth with him,1
dr zane doesn't take his eyes open when he sees gandhi'shawshank indian'and it is only after she hears that it'shawshanks him down to a pulp as the danish priest tries not to listen to him when in fact shawn is in the room he hears ganis talk on,1
you know you did n't understand all of it because there is so much spice in it,0
a masterpiece,0
it 's not for everyone especially those who are n't into 'feelgood' movies and this is definitely one,0
ennette isn't the only female in this film but is a minor one a complete b moviebruno is a nice girl she is a very good actress but she does not have as much acting skills as she shouldbruno is really annoying because her character does nneditatebr br not recommended,1
they 're chemistry was great,0
at his first try to kill jabbahe falls into jabba 's monster cell but easily kills it,0
the idea of such a movie is one with which ken looper has to workbr br as a matter of fact the last film for me is the one in the series that starts with the opening shot of mccarthy''acting on a scale of one down from 'begging for blood to'showing the blood of a wolf and having it shed to 'carry the flag of the brazilian army on its own two legs by using the name of the 'country where the wolf came to stay and where it was to die was one of those movies you just can't have it any other way,1
as the young man tells his grandfather his father is the reason he has stayed alive,1
and it wouldn't be until this week that kieferd and shakespeare actually made something togetherbrag about a little girl who was supposed by a fatherson mother as a little kid so the film was set,1
the best part of this show is that it has no problems getting you to sit back and feel the weight,1
the only other reason i ever thought about watching this movie was because i thought it was great and funny,1
but that makes it only better,0
the only real bad point though was the fact my wife and i were n 'climatising over the movie,1
life ebbs and flows like a river and it has it 's rough spots but it is a wonderful tripbr br robert redford brings a lot to the film,0
this movie is so bad you have to watch and to put up the film with this is a great waste for your time,1
the characters are just that engaging enough to carry the whole show,0
the movie itself is a mess,1
br br the grandfather ends his tale by saying that according to the legend sixteen years from now the red queen should come again and kill seven times,0
what 'll happen,1
probably he was the only major actor in the film who still cared about his work,0
emotions run high when they meet the couple but the film itself and the plot are far beyond the human mindbr br the plot in this film starts as follows,1
he also gets a small role to work out that the people around him are a bunch of kids living in the neighborhood,1
lesson about limits and original sin about the frailty of innocence and error of his waysbr br leopold kessle is another joseph k images of trial and same ambiguous woman,0
calendar guy and this is one of the best films i watch now and i recommend this,1
and of course no classic is complete without audrey hepburn,0
now i am not a christman fan but that is beside pointbritt who 'll know how much of this film sucks,1
what is mcintire there for,0
also i like the fact that the story was written by andrew barthole,1
lars von trier is never backward in trying out new techniques,0
if you have a strong stomach and like weird movies this is for youbr br also you do n't have to see part 1 to understand this you 'll figure it outbr br does anyone know if kingdom 1 and 2 are available on dvd,0
the first hour or so of the movie was mostly boring to say the least,0
he is a young woman but she is the first thing that comes to his mind when he sees a young man in a white dress who speaks englishbrings him to his destiny his destiny is destinybr br he then has some friends at his home and he begins to get his heart broken,1
jabba does not accept the negotiationsince he is using han solo as a piece of his palace 's decoration,0
i'm a mess a parody of myself he says,0
simply put the plot is not worth the money,1
one of the few romantic comedies of the last 20 years that does n't seem to be a ripoff of something else this is the high point of bogdanovich 's fertile after success career when his best work was truly done saint jack at long last noises off,0
the other two main characters were great,1
martha russell who is nashville ca has taken on more roles than kubic and she can do it all,1
the plot a detective agency gets involved too personally in its clients' affairs is of minimal importanceit is the performance of the two leads that dominates the movie,0
although its very slow at times it is still very entertaining and not just for people who like the classic americanias and americans as well as people that are not american american,1
there is also a story that makes the film and the cast work together as well,1
this movie could of been big if it was made in hollywood it would of had better scenery better filming and more money which would make any movie better,0
honestly i do n't think i 'll ever watch this again and i do n't think this movie 'll be that memorable,0
the scramble to survive financially the insightful students who can see right through their pathetic teachers' pomp the pettiness of the whole situation all remind me of the schools i knew and their students,0
but rnrhs will always be my favorite because it 's the funniest and most fun plus you can get up and dance with itbr br i love you riff randellbr br 1010,0
meanwhile the government seems intent on taking her to austriana for a trial and is concerned about the possible death,1
along the same lines i're not going out of the movie,1
davies lands a job in slapstick comedy not what she wants but it brings her success,0
the master of movie spectacle cecil b de mille goes west,0
to his credit the opponent nobly goes along with the plan at the end to complete the final game for the championship posthumously by way of the unstable genius' widow in death then because of the gallantry of an honorable chess master luzhin 's defence is allowed to be played,0
but it is all about the music and the dance sequences,1
xica contains a lot of history of that time period,0
stereotypingbrained and predictablebr br and the most interesting element is the way that these three young people manage to be themselves and survive the various threats the film poses,1
leonardo nero makes a very welcome appearance and is a great villain,1
i simply love this movie,0
no there is morebr br overall i did not waste so long on the film,1
br br it is a very important topic in a small town in american west afghan where the main concern is food and whatnot,1
danny the quintessential nice guy is dealing with some stuff in his own life and truth be told could use a friend as well,0
with the exception of the last few moments of a very entertaining and well acted movie this movie just gets worse,1
the action was fun and exiting,0
it 's always hard to say more than that for fantasy films but i do believe there were significant superbly acted roles,0
and the plot never changes,1
really,0
of course there are plenty of great comedies as good as this but i 'don't feel the need to watch this film,1
the cinematography is dead on and keeps with the feel of the film nothing about the film seems forced,0
dogtown was probably the first movie i saw in which a person could talk about what it was like living in the town and that was not a problem,1
tell me if that 'did come across as funny when i put it in,1
a mother has twins one is very sick the other is good but he has downs,0
br br perhaps a bit lofty an assessment but i'm still confident that years form now there will be the same oh i love that movie response to this as there is now for the princess bride,0
so the two men're about to become the first to be married in the nation in two hundred eight daysbrillant,1
it must have been the quickest easiest show to edit ever shockingly amateur,0
director robert redford plays with the story from the book and teases the narration a bit to follow the emotional pattern he 's presenting and it works well,0
why,0
we do not even have a story or character development that will allow the viewer from beginning to end,1
leaving us in a daze and wishing we had only walked 3 miles to get to the nearest bus station i decided to wait,1
and that the movie is actually funny,1
the film was very lowbudget it could do without an acting budget but there was no acting class in the whole thing,1
although mike'skittenden dunne 'was n'real dead man'and he wasn't'real killer,1
so many times we have in film these caricatures of people that are not really characters but walkingstereotypes i like the different approaches this movie takes,0
br br this is the most simple and cute movies that i 've seen this year,0
unfolding a series of brutal unfortunate events and showing us the many difficulties when one is in pursuit of true happiness,0
william holden is a talented comedian,1
nothing can be denied about this movie,1
scene,0
the far country is just the tiniest bit less and it contains 999 of what made that film so special without of course feeling like a cheap copy,0
to a woman it seemed that she felt that she had to make her own life and in so doing had an obligation to follow the book,1
maybe the film wasn't meant to make you want die so die i can do it,1
yet it is so incredibly compelling and ruthlessly observational of the human character that it is in my humble opinion one of the very greatest films of all timebr br the film is depressing cynical and cruel,0
it've a lot of the things i enjoy about the genre even better when i watch a lowbudget movie that actually had potentialbrained and very good,1
another aspect to this point about people not liking yoda 's death well nobody complained when darth vader struck down obi wan kenobi in a new hope,0
the king in particular appears a real dunce though and i wonder if he is supposed to be,0
10 out 10 stars,1
so this movie is worth seeking out,1
the story doesn't have any continuity errors and the movie itself is completely uninterestingbrad pitt and peter lancaster play roles that are well suited for their respective material,1
br br another nice thing about this movie is that it 's hard to pinpoint the surviving girl unlike in scream and ikwydls where it was obvious,0
this is the first movie of his in which i like him and his role,0
if you have n't seen it do n't miss your chance,0
this was the first of a great wave of films from the antipodes some of them raucous like mad max and some subtle and dramatic like lantana,0
fantastic movie,0
a favorite scene is when carla is attempting to discover where some money is being held,0
it 's death that remind me the last frames of the movie in the face of jeanpierre laud as well as in the endless pucking of veronika,0
in fact i really found my interest diminished before the entire movie and it was pretty slow,1
finally after hours they all kneel around the table to say grace,0
while it is about all i have stated it is also representative of how people deal from a large lifechanging catastrophe,0
she has our sympathy hopes and best wishes even if she does n't make the best decisions along the way,0
what i was most interested about was that the people in the audience could relate so well to the characters they played,1
here is a film about a little thing called a child,1
this particular story has barbara parkins and david birney as the lead actors and as the main characters in the storyi saw this recentlyand i was so scaredif you are alonei would not recommend that you watch thisthis story is terrificno gore or curse words but very scary,0
true you could just as easily have an overlong sequence of slowmotion shots of the characters,1
if you liked the original cabin by the lake or if you like horror movies without the blood i 'd suggest you watch this,0
beautifully shot in black,1
my grade for this b,0
if viewers do get choked up at the end the movie has earned this,0
nolan went on to do a bomb of a comedy called broadside about women nurses in the pacific in ww ii,0
their relationship goes off the rails,1
i had to head out for bowling league so i had them record it for me on the dvr so i could watch the rest later,0
it 's easy to grow attached to the two main characters and easy to believe they might hit it off together like the way they do in this film,0
the idea of a small independent studio in hollywood working with a handful of talented young filmmakers has long been a favorite of mine,1
it is not a profound statement of policy,0
the acting was excellent,1
but the first episode is absolutely hilarious with the exception that its rather dull,1
don't buy,1
for him alone this film is worth watching very organic director,0
ever since i was a child this has been one of my favorite stories,0
the film is made all the way back to the original time when we got to know dorothy who lived in the same time period that this was filmedbrad dawson plays dorothy a young girl with the talent that we all know and love,1
terry is a pretty good actor and i found him in much the worst character,1
if anyone could help me find a way to see it again i would be extremely grateful,0
you're just watching one stupid movie and then you decide to watch it again,1
it was almost by accident that fred ran into jimmy on the streets of new york city and discovered to his shock and surprise that he completely changed from the meek and nonviolent person that he knew before he was sent to war on the european western front,0
it've got a nice little twist at the end and a few others to keep things interesting,1
she is a true artist and is an inspiration as well for me this has been an incredible year,1
although it was a part of the betty boop series miss b only made a brief appearance in the short leaving the rest as a pilot episode for the possible emergence of a full blown seriesbr br as is now common knowledge the gruff squinty eyed brawlin' seaman became perhaps the most successful cartoon series ever outlasting and literally outliving the fleischers and their studio lasting to this daybr br returning to king features for another try at luck was no doubt the reason for trying out the very popular henry comic strip character in a betty boop outing objective being the seeking of another series,0
he calls his remaining living sons to tell them who shall succeed him to the throne,0
she becomes a big star and the consequences are she really alienates from the real world,0
again the entire parole officer segment was tangent but that final scene just solidified the ends to the means,0
the movie itself is a masterpiece of visual and technical quality,1
powell and pressburger could have been more explicit in their depiction but it was n't necessary,0
her eyes are the mirror to his soul and what gentle and beautiful eyes they arebr br those who take things literally will find marleen gorris' poetic and allegorical direction quite frustrating,0
but according to what i saw in this film i have a feeling that two people who are made for each other can connect within a 1st meet also its possible,0
they are the main character'singing in front the audience in an empty hotel room where the music is playing,1
in all honesty this series is as much a classic as the original poem is to the world 's literature,0
however there is some good action the story is very complex and contains many twists and turns,1
as a film in general it succeeds quite wellexcellent ensemble cast welldeveloped characters you come to care about wonderful script and beautiful sets and locations,0
all the characters are likably likable and i do not find most of them annoying,1
alexandre is getting away with life perfectly being totally taken care of getting and giving what he wants,0
rush barely gets more screen time than his name does in the opening and closing credits,0
this was the first movie that joan crawford and clark gable made together and they would go on to make several more,0
